School,2020-2019,2019-2018,2018-2017,2017-2016,2016-2015,2015-2014
Coyne College,1.8,1.8,1.8,1.8,1.8,1.8
All Beauty College,3.0,3.0,3.0,3.0,3.0,3.0
Northcoast Medical Training Academy,1.6,2.3,1.6,1.6,1.6,1.6
Carolina School of Broadcasting,1.8,3.0,1.8,1.8,1.8,1.8
Blush School of Makeup,1.8,1.8,1.8,1.8,1.8,1.8
American Institute of Interior Design,3.0,3.0,3.0,3.0,3.0,3.0
DCI Career Institute,2.4,1.9,2.4,2.4,2.4,2.4
Tri-State Barber College,3.0,3.0,3.0,3.0,3.0,3.0
Tint School of Makeup & Cosmetology,2.6,1.0,2.6,2.6,2.6,2.6
Career Quest Learning Centers,1.6,1.6,1.6,1.6,1.6,1.6
Continental Academie of Hair Design,1.8,3.0,1.8,1.8,1.8,1.8
Vista College,2.3,1.6,2.3,2.3,2.3,2.3
TDDS Technical Institute,1.3,1.8,1.3,1.3,1.3,1.3
Alexandria School of Scientific Therapeutics,1.7,2.1,1.7,1.7,1.7,1.7
Trinity College of Puerto Rico,2.6,1.9,2.6,2.6,2.6,2.6
"John Paolo's Xtreme Beauty Institute, Goldwell Products Artistry",2.9,1.0,2.9,2.9,2.9,2.9
Bold Beauty Academy,3.0,2.4,3.0,3.0,3.0,3.0
International Diving Institute,-1.0,2.7,-1.0,-1.0,-1.0,-1.0
Elmira Business Institute,3.0,2.8,3.0,3.0,3.0,3.0
Jolie Health and Beauty Academy,1.8,2.5,1.8,1.8,1.8,1.8
Florida Coastal School of Law,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Creative Center (The),2.9,2.6,2.9,2.9,2.9,2.9
Beauty Technical College,2.6,2.5,2.6,2.6,2.6,2.6
Alabama State College of Barber Styling,3.0,2.3,3.0,3.0,3.0,3.0
Meredith Manor International Equestrian Centre,0.2,1.6,0.2,0.2,0.2,0.2
Specs Howard School of Media Arts,-1.0,1.6,-1.0,-1.0,-1.0,-1.0
CenterPoint Massage & Shiatsu Therapy School & Clinic,1.7,2.3,1.7,1.7,1.7,1.7
Flint Institute of Barbering,2.0,2.1,2.0,2.0,2.0,2.0
Jolie Hair and Beauty Academy,1.8,2.5,1.8,1.8,1.8,1.8
Levittown Beauty Academy,2.9,2.3,2.9,2.9,2.9,2.9
Robert Paul Academy of Cosmetology Arts & Sciences,0.0,1.5,0.0,0.0,0.0,0.0
Advanced Beauty College,1.6,3.0,1.6,1.6,1.6,1.6
Palmetto Beauty School,1.5,1.5,1.5,1.5,1.5,1.5
Healthcare Institute (The),2.0,1.6,2.0,2.0,2.0,2.0
Elegance International,-0.8,1.0,-0.8,-0.8,-0.8,-0.8
Harris School of Business,1.1,1.6,1.1,1.1,1.1,1.1
New England School of Photography,1.7,1.8,1.7,1.7,1.7,1.7
Avalon School of Cosmetology,3.0,3.0,3.0,3.0,3.0,3.0
Paul Mitchell The School Ardmore,1.8,1.8,1.8,1.8,1.8,1.8
Pioneer Pacific College,2.2,2.1,2.2,2.2,2.2,2.2
"Mr. John's School of Cosmetology, Esthetics & Nails",-1.0,1.5,-1.0,-1.0,-1.0,-1.0
Inland Massage Institute,2.5,3.0,2.5,2.5,2.5,2.5
Holy Family College,0.4,3.0,0.4,0.4,0.4,0.4
Cannella School of Hair Design,3.0,3.0,3.0,3.0,3.0,3.0
Branford Hall Career Institute,1.1,1.6,1.1,1.1,1.1,1.1
American College for Medical Careers,1.1,1.6,1.1,1.1,1.1,1.1
Carsten Institute of Cosmetology,1.6,2.5,1.6,1.6,1.6,1.6
Curve Metric School of Hair Design,3.0,3.0,3.0,3.0,3.0,3.0
Massage Therapy Institute of Colorado,3.0,3.0,3.0,3.0,3.0,3.0
Universal Therapeutic Massage Institute,1.7,3.0,1.7,1.7,1.7,1.7
Brown College of Court Reporting,1.8,1.8,1.8,1.8,1.8,1.8
New Dimensions Beauty Academy,3.0,3.0,3.0,3.0,3.0,3.0
